DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-11-11 19:04:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0784_output_1944-11-11,RHENANIA OSSAG OIL,HAMBURG,876,1504.0,1394.0,92.68617021276596,110.0,7.3138297872340425
1944-09-03 11:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0633_output_1944-09-03,Oppau Oil Refinery,Ludwigshafen,325,966.15,648.4,67.11173213269161,317.75,32.88826786730839
1944-07-29 10:15:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0571_output_1944-07-29,,,421,951.6,802.6,84.34216057166877,149.0,15.65783942833123
1944-10-25 13:01:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0782_output_1944-10-25,Rhenania Oil Refinery,Hamburg,572,784.25,680.25,86.73892253745616,104.0,13.261077462543833
1944-12-20 21:55:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0688_output_1944-12-20,HYDRIERWERKE AG,POLITZ,736,727.6,687.6,94.50247388675096,40.0,5.497526113249037
1944-06-23 09:35:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0487_output_1944-06-23,Giurgiu Oil Refinery,Giurgiu,458,677.3,378.8,55.92794921009892,298.5,44.07205078990108
1944-11-05 12:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0401_output_1944-11-05,Floridsdorf Oil Refinery,Vienna,473,651.38,394.0,60.48696613343978,257.38,39.51303386656023
1945-04-02 09:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0795_output_1945-04-02,HAFEN OIL STORAGE,HAMBURG,61,641.0,600.0,93.60374414976599,41.0,6.3962558502340086
1944-11-06 11:20:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0409_output_1944-11-06,OIL REFINERY,MOOSBIERBAUM,314,614.25,492.25,80.13838013838014,122.0,19.86161986161986
1944-08-25 13:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0686_output_1944-08-25,Synoil Plant,Politz,337,595.5264999999999,429.3,72.08747217798035,166.2265,27.91252782201968
1944-10-25 12:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0789_output_1944-10-25,RHENANIA OIL REFINERY,HAMBURG,200,592.25,296.25,50.02110595187843,296.0,49.97889404812157
1944-11-25 12:15:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0662_output_1944-11-25,,,208,580.5,574.5,98.96640826873386,6.0,1.03359173126615
1945-03-12 12:53:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0776_output_1945-03-12,DP AG SCHINDLAR OIL,HAMBURG,140,577.75,328.0,56.77196019039377,249.75,43.22803980960623
1945-03-03 10:35:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0648_output_1945-03-03,Rothensee Synthetic Oil,Magdeburg,259,545.6,543.4,99.59677419354837,2.2,0.4032258064516129
1944-07-21 11:41:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0427_output_1944-07-21,OIL REFINERY SYNTHETIC,BRUX,232,539.88,402.6,74.57212713936431,137.28,25.4278728606357
1945-03-11 13:14:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0776_output_1945-03-11,DP AG SCHINDLAR OIL,HAMBURG,188,535.0,484.0,90.46728971962617,51.0,9.532710280373832
1944-11-21 11:47:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0790_output_1944-11-21,,,207,516.294,515.0,99.74936760837817,1.294,0.2506323916218279
1944-11-21 12:03:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0784_output_1944-11-21,RHENANIA OSSAG OIL,HAMBURG,172,484.42,484.0,99.91329837744107,0.42000000000000004,0.08670162255893646
1944-10-13 11:31:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0578_output_1944-10-13,BLECHHAMMER OIL REFINERY SYNTHETIC,,173,453.25,453.25,100.0,0.0,0.0
1945-03-08 14:16:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0611_output_1945-03-08,Emil Benzol Plant,Essen,339,437.4,417.9,95.54183813443072,19.5,4.458161865569274
1944-07-07 11:08:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0580_output_1944-07-07,BLECHHAMMER OR SYN N,,184,432.75,373.75,86.36626227614096,59.0,13.63373772385904
