DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-06-15 23:57:00,BOX_7_BOOK_14_SUPPLY_IMG_7248_output_1944-06-15,Fuel Depot,Fouillard,212,832.0
1945-02-13 12:21:00,BOX_7_BOOK_14_SUPPLY_IMG_7168_output_1945-02-13,Goods Depot,Vienna,226,494.6
1945-02-08 12:28:00,BOX_7_BOOK_14_SUPPLY_IMG_7168_output_1945-02-08,Goods Depot,Vienna,217,463.0
1944-10-12 18:17:00,BOX_7_BOOK_14_SUPPLY_IMG_7179_output_1944-10-12,Ord Depot,Bologna,172,306.0
1945-02-15 13:37:00,BOX_7_BOOK_14_SUPPLY_IMG_7168_output_1945-02-15,Goods Depot,Vienna,117,304.0
1945-04-23 13:30:00,BOX_7_BOOK_14_SUPPLY_IMG_7184_output_1945-04-23,Supply Dump,Peschiera di Garde,92,235.0
1944-07-19 11:25:00,BOX_7_BOOK_14_SUPPLY_IMG_7227_output_1944-07-19,Ordnance Depot,Munich,101,218.65
1945-03-22 12:29:00,BOX_7_BOOK_14_SUPPLY_IMG_7169_output_1945-03-22,Goods Depot,Vienna,37,141.5
1945-02-19 13:01:00,BOX_7_BOOK_14_SUPPLY_IMG_7168_output_1945-02-19,Goods Depot,Vienna,65,124.0
1941-11-01 12:23:00,BOX_7_BOOK_14_SUPPLY_IMG_7170_output_1941-11-01,ORD Depot,Vienna,58,123.0
1945-04-06 13:55:00,BOX_7_BOOK_14_SUPPLY_IMG_7189_output_1945-04-06,ORDNANCE DEPOT,VERONA,38,117.4
1941-07-19 11:15:00,BOX_7_BOOK_14_SUPPLY_IMG_7227_output_1941-07-19,Ordnance Depot,Munich,51,111.0
1944-02-17 01:22:00,BOX_7_BOOK_14_SUPPLY_IMG_7188_output_1944-02-17,GP,UNKNOWN,33,90.0
1944-06-09 10:09:00,BOX_7_BOOK_14_SUPPLY_IMG_7227_output_1944-06-09,Ordnance Depot,Munich,36,87.0
1945-04-12 04:25:00,BOX_7_BOOK_14_SUPPLY_IMG_7182_output_1945-04-12,AMMO STATION,MALCONTENTA,28,84.0
1945-04-11 12:13:00,BOX_7_BOOK_14_SUPPLY_IMG_7181_output_1945-04-11,Fuel Depot,Goito,30,80.0
1941-02-21 00:00:00,BOX_7_BOOK_14_SUPPLY_IMG_7186_output_1941-02-21,Ammo Depot,Pola,1,80.0
1944-05-01 12:17:00,BOX_7_BOOK_14_SUPPLY_IMG_7180_output_1944-05-01,CARR ARA SUPPLY STORAGE DUMP,,42,79.0
1944-10-07 13:18:00,BOX_7_BOOK_14_SUPPLY_IMG_7198_output_1944-10-07,Ord Depot,Bielefeld,30,77.1
1945-02-21 13:06:00,BOX_7_BOOK_14_SUPPLY_IMG_7168_output_1945-02-21,Goods Depot,Vienna,2,74.0
1944-06-13 10:30:00,BOX_7_BOOK_14_SUPPLY_IMG_7228_output_1944-06-13,Milbertshoven Ord Depot,Munich,33,66.0
1945-03-22 12:21:00,BOX_7_BOOK_14_SUPPLY_IMG_7171_output_1945-03-22,ORD Depot,Vienna,34,65.0
1944-07-19 11:14:00,BOX_7_BOOK_14_SUPPLY_IMG_7228_output_1944-07-19,Milbertshoven Ord Depot,Munich,26,65.0
1944-07-20 11:18:00,BOX_7_BOOK_14_SUPPLY_IMG_7228_output_1944-07-20,Milbertshoven Ord Depot,Munich,30,62.25
1944-10-16 11:04:00,BOX_7_BOOK_14_SUPPLY_IMG_7167_output_1944-10-16,ORD DEPOT,LINZ,28,62.0
