DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-10-23 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7335_output_1944-10-23,Gun Emplacements,Walcheren Island,1949,4837.0
1944-09-20 15:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7421_output_1944-09-20,LAND BATTERIES,CALAIS,3841,4100.0
1944-10-17 16:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7315_output_1944-10-17,Gun Emplacements,Flushing,1437,3832.45
1944-10-23 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7336_output_1944-10-23,Gun Emplacements,Walcheren Island,2388,3600.5
1944-09-17 08:23:00,BOX_7_BOOK_15_TACTICAL_IMG_7413_output_1944-09-17,COSTAL DEFENSES,BOULOGNE,3295,3515.75
1944-09-05 17:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7459_output_1944-09-05,TROOP CONCENTRATIONS,LE HAVRE,1575,2986.0
1944-09-10 16:14:00,BOX_7_BOOK_15_TACTICAL_IMG_7461_output_1944-09-10,Le Havre Strong,Le Havre,1621,2471.0
1944-07-18 05:59:00,BOX_7_BOOK_15_TACTICAL_IMG_7671_output_1944-07-18,MONDEVILLE,,1160,1950.0
1944-05-03 23:56:00,BOX_7_BOOK_15_TACTICAL_IMG_7668_output_1944-05-03,MILITARY DEPOT,MAILLY LE CAME,761,1803.0
1944-05-27 03:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7643_output_1944-05-27,MILITARY CAMP,BOURG LEOPOLD,1379,1658.0
1944-10-12 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7745_output_1944-10-12,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,537,1410.0
1944-09-27 08:31:00,BOX_7_BOOK_15_TACTICAL_IMG_7422_output_1944-09-27,,,1272,1388.6
1944-06-05 23:48:00,BOX_7_BOOK_15_TACTICAL_IMG_7500_output_1944-06-05,ST MARTIN D VARREVILLE MEDIUM BATTERY,,286,1289.15
1944-06-05 12:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7669_output_1944-06-05,Battery,Maisy,528,1101.0
1944-06-05 04:29:00,BOX_7_BOOK_15_TACTICAL_IMG_7672_output_1944-06-05,MONT FIEURY LIGHT COASTAL BTRY,,324,1066.6
1944-09-06 17:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7461_output_1944-09-06,Le Havre Strong,Le Havre,947,989.0
1944-09-28 17:52:00,BOX_7_BOOK_15_TACTICAL_IMG_7427_output_1944-09-28,Gun Positions,Cap Gris Nez,351,943.0
1944-09-26 10:13:00,BOX_7_BOOK_15_TACTICAL_IMG_7422_output_1944-09-26,,,371,887.5
1944-09-16 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7645_output_1944-09-16,GUN EMPLACEMENT,MOERDIJK,25,796.0
1941-05-30 00:15:00,BOX_7_BOOK_15_TACTICAL_IMG_7500_output_1941-05-30,ST MARTIN D VARREVILLE MEDIUM BATTERY,,128,794.0
1944-09-17 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7335_output_1944-09-17,Gun Emplacements,Walcheren Island,430,776.7
1944-10-11 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7745_output_1944-10-11,FORT FREDERIK HENDRIK GUN EMPLACEMENTS,,352,760.0
1944-06-04 15:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7437_output_1944-06-04,Grand Water Tower,Dieppe,202,756.0
1944-06-05 04:48:00,BOX_7_BOOK_15_TACTICAL_IMG_7502_output_1944-06-05,Medium Coastal Battery,St Pierre Dumont,216,711.5
1944-12-30 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7644_output_1944-12-30,Tactical Target,Houffalize,391,691.0
1944-08-25 22:55:00,BOX_7_BOOK_15_TACTICAL_IMG_7415_output_1944-08-25,GUN POSTIONS,BREST,540,680.25
1944-06-05 03:35:00,BOX_7_BOOK_15_TACTICAL_IMG_7666_output_1944-06-05,Battery,La Pernelle,28,668.5
1944-09-28 07:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7458_output_1944-09-28,,LE HAVRE DEFENSES,165,612.0
1944-09-15 14:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7460_output_1944-09-15,Le Havre Defended Locality,Le Havre,165,612.0
1944-12-26 02:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7305_output_1944-12-26,,ST VITH,556,608.0
1944-05-09 04:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7427_output_1944-05-09,Gun Positions,Cap Gris Nez,128,598.0
1945-01-05 02:56:00,BOX_7_BOOK_15_TACTICAL_IMG_7644_output_1945-01-05,Tactical Target,Houffalize,400,577.0
