DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-12-05 21:14:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6544_output_1944-12-05,,,493,1568.25,1563.0,99.66523194643712,5.25,0.3347680535628886
1943-04-10 04:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5808_output_1943-04-10,MARSHALLING YARD,TOURS,519,1312.25,868.25,66.16498380643932,444.0,33.835016193560676
1943-11-10 00:52:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5707_output_1943-11-10,Marshalling Yards,Modane,1196,1285.0,1182.0,91.98443579766537,103.0,8.01556420233463
1944-12-27 06:23:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6848_output_1944-12-27,RAILWAY WORK SHOPS,OPLADEN,182,1165.0,1156.0,99.2274678111588,9.0,0.7725321888412017
1944-12-30 20:56:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5999_output_1944-12-30,Kalk Marshalling Yard,Cologne,957,1084.0,1064.0,98.1549815498155,20.0,1.8450184501845017
1944-04-11 22:40:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5837_output_1944-04-11,Aachen Transport,Aachen,2,1060.0,878.0,82.83018867924528,182.0,17.169811320754715
1943-06-19 01:48:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6717_output_1943-06-19,ARM LOCO WKS SCHNDR,LE CREUSOT,1092,1013.14,951.0,93.8665929683953,62.14,6.1334070316047145
1942-11-27 13:53:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6273_output_1942-11-27,MARSHALLING YARD,LEIPZIG,360,997.0,760.0,76.22868605817452,237.0,23.771313941825476
1944-04-12 02:40:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5837_output_1944-04-12,Aachen Transport,Aachen,340,941.125,938.0,99.66795059104795,3.125,0.33204940895205204
1945-07-27 13:51:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6275_output_1945-07-27,TRAFFIC,LEIPZIG,342,934.8,682.8,73.0423620025674,252.0,26.95763799743261
