DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-04-14 22:42:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6854_output_1945-04-14,BARRACKS AND RR CTR,POTSDAM NR BERLIN,3360,1958.0
1941-11-13 12:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6510_output_1941-11-13,,TOCHLION,1697,1769.0
1944-12-08 10:47:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6786_output_1944-12-08,River Dams,Heimbach near Urft,438,1760.0
1944-07-20 15:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_4950_output_1944-07-20,MARSHALLING YARD,COURTRAI,853,1578.0
1944-07-29 00:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5656_output_1944-07-29,Loco Sheds,Joigny La Rocle,125,1481.0
1945-03-24 10:05:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5927_output_1945-03-24,R R Bridge,Bremen,903,1248.0
1944-12-11 14:25:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6786_output_1944-12-11,River Dams,Heimbach near Urft,540,1202.0
1944-12-31 14:37:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6893_output_1944-12-31,R R MARSHALLING YARD,VOHWINKEL,918,1194.0
1944-04-09 12:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5679_output_1944-04-09,MARSHALLING YARD,LILLE,663,1179.0
1944-06-10 10:17:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6274_output_1944-06-10,,,919,1145.0
1945-04-10 23:02:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6446_output_1945-04-10,MARSHALLING YARD,PLAUEN,929,1129.0
1944-06-12 01:35:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6725_output_1944-06-12,Railway Junction,Poitiers,336,1060.0
1944-06-11 03:19:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5629_output_1944-06-11,Evreux Marshalling Yard,Evreux,396,1054.0
1944-04-09 23:50:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5827_output_1944-04-09,Villeneuve Orly Marshalling,Villeneuve Orly,410,1043.7
1941-02-28 18:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6734_output_1941-02-28,UNIDENTIFIED NAME RWY JUNCTION,,329,1035.4
1944-04-20 00:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6693_output_1944-04-20,RR STATION AND SIDINGS,OTTIGNIES,370,1025.7
1944-04-18 23:49:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5745_output_1944-04-18,MY,Paris Noisy Le Sec,489,999.85
1944-03-06 20:42:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6732_output_1944-03-06,MARSHALLING YDS,TRAPPES,518,995.0
1944-12-30 20:56:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6000_output_1944-12-30,,,50,972.0
1944-05-03 00:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6732_output_1944-05-03,MARSHALLING YDS,TRAPPES,392,969.0
1944-04-18 13:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5765_output_1944-04-18,SOTTEVILLE MY,ROUEN,600,962.0
1945-04-16 03:58:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_5008_output_1945-04-16,PILZEN RAILWAY CENTRE,PILZEN,648,958.0
1944-04-20 06:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5670_output_1944-04-20,Marshalling Yard,Lens,13,948.75
1944-04-20 00:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5744_output_1944-04-20,MY,Paris La Chapelle,714,937.0
1944-04-27 04:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5832_output_1944-04-27,Aulnoye Marshalling Yard,Aulnoye,406,930.5
1943-04-25 15:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5832_output_1943-04-25,Aulnoye Marshalling Yard,Aulnoye,287,915.6
1943-06-12 00:38:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5808_output_1943-06-12,MARSHALLING YARD,TOURS,342,885.0
1944-04-10 02:20:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5832_output_1944-04-10,Aulnoye Marshalling Yard,Aulnoye,258,883.0
1944-04-12 02:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5832_output_1944-04-12,Aulnoye Marshalling Yard,Aulnoye,150,883.0
1944-06-01 01:05:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6736_output_1944-06-01,,Vierzon,230,875.8
1945-01-28 21:58:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6565_output_1945-01-28,MARSHALLING YARD,STUTTGART,930,870.5
1944-08-18 00:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5605_output_1944-08-18,RWY CENTRE,CONNANTRE,234,866.0
1943-12-31 18:59:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6489_output_1943-12-31,,,167,858.0
1944-04-10 14:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5664_output_1944-04-10,MARSHALLING YARD,LAON,292,857.0
