DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-07-07 08:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5285_output_1944-07-07,RR BRIDGE,PLOESTI,210,1161.0
1945-02-06 12:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5948_output_1945-02-06,MARSHALLING YARD,CHEMNITZ,459,1141.0
1942-02-15 11:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6003_output_1942-02-15,Marshalling Yard,Cottbus,431,1076.0
1945-02-16 13:25:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6169_output_1945-02-16,MARSHALLING YARD,HAMM,391,988.0
1944-11-05 11:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6229_output_1944-11-05,MARSHALLING YARD,KARLSRUHE,602,875.3
1944-08-29 12:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5670_output_1944-08-29,Marshalling Yard,Lens,127,809.0
1945-03-08 13:35:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_5078_output_1945-03-08,MARSHALLING YARDS,HEGYESHALOM,345,793.75
1945-03-19 13:48:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6269_output_1945-03-19,MARSHALLING YARD,LANDSHUT,293,765.5
1944-06-06 19:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5552_output_1944-06-06,RAILROAD,ARGENTAN,346,721.8
1944-10-21 22:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5861_output_1944-10-21,MARSHALLING YARD,ASCHAFFENBURG,299,702.5
1944-06-15 09:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5719_output_1944-06-15,BRIDGE,NANTES,163,698.0
1945-03-20 14:20:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_4737_output_1945-03-20,,,391,676.0
1944-06-14 09:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_5232_output_1944-06-14,RR REPAIR,SMEDEREVO,27,648.0
1944-12-11 11:20:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6097_output_1944-12-11,Marshalling Yards,Frankfurt am Main,216,634.75
1944-04-24 11:55:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5286_output_1944-04-24,Marshalling Yard,Ploesti,231,628.0
1945-04-01 11:33:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6682_output_1945-04-01,Motor Truck Depot,Tarvisio,186,625.5
1944-11-05 11:08:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6096_output_1944-11-05,,,213,624.0
1945-03-09 12:38:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_4780_output_1945-03-09,,,254,610.3
1945-03-14 14:05:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_4927_output_1945-03-14,MARSHALLING YARDS,WIENER NEUSTADT,236,607.5
1945-03-19 13:15:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6371_output_1945-03-19,MUHLDORF NANET MARSHALLING YARDS,MUHLDORF,315,570.25
